# Recorded LOD-differential verdicts — the machine-checkable contract.
# Regenerate with: ... res://Scenes/LodDifferential.tscn -- --record
# Accepting a new exception means re-recording AND writing down the reason
# in docs/lod-differential-baseline.md. An unexplained row here is a bug
# that has been made invisible.
scenario,metric,verdict
heart_drying,pop.spores,below_min_count
heart_drying,pop.total,within_noise
heart_drying,spacing.Shroomer,FAIL
heart_drying,terraform.nudges,ok
heart_drying,terraform.shifts,ok
nest_raid,births.Faeling,FAIL
nest_raid,births.Rabbit,FAIL
nest_raid,births.Sectid,FAIL
nest_raid,deaths_predation.Faeling,FAIL
nest_raid,deaths_predation.Rabbit,FAIL
nest_raid,deaths_predation.Sectid,below_min_count
nest_raid,growth.shroomer_mean_scale,ok
nest_raid,kills.Sectid,FAIL
nest_raid,kills.total,FAIL
nest_raid,nutrition.consumed,ok
nest_raid,nutrition.corpse_enriched,within_noise
nest_raid,nutrition.regenerated,ok
nest_raid,pop.Faeling,ok
nest_raid,pop.Rabbit,FAIL
nest_raid,pop.Sectid,FAIL
nest_raid,pop.corpses,FAIL
nest_raid,pop.crystals,within_noise
nest_raid,pop.nests,below_min_count
nest_raid,pop.spores,below_min_count
nest_raid,pop.total,FAIL
nest_raid,spacing.Faeling,within_noise
nest_raid,spacing.Rabbit,FAIL
nest_raid,spacing.Sectid,within_noise
nest_raid,terraform.nudges,FAIL
nest_raid,terraform.shifts,below_min_count
predator_prey,births.Deer,ok
predator_prey,births.Rabbit,ok
predator_prey,births.Wolf,within_noise
predator_prey,deaths_predation.Deer,within_noise
predator_prey,deaths_predation.Rabbit,within_noise
predator_prey,deaths_predation.Wolf,below_min_count
predator_prey,growth.shroomer_mean_scale,ok
predator_prey,kills.Wolf,within_noise
predator_prey,kills.total,within_noise
predator_prey,nutrition.consumed,within_noise
predator_prey,nutrition.corpse_enriched,ok
predator_prey,nutrition.regenerated,ok
predator_prey,pop.Deer,ok
predator_prey,pop.Rabbit,ok
predator_prey,pop.Wolf,within_noise
predator_prey,pop.corpses,within_noise
predator_prey,pop.crystals,below_min_count
predator_prey,pop.nests,below_min_count
predator_prey,pop.spores,below_min_count
predator_prey,pop.total,ok
predator_prey,spacing.Deer,FAIL
predator_prey,spacing.Wolf,FAIL
predator_prey,terraform.nudges,below_min_count
predator_prey,terraform.shifts,below_min_count
restoration,births.Faeling,ok
restoration,growth.shroomer_mean_scale,ok
restoration,kills.total,below_min_count
restoration,nutrition.consumed,ok
restoration,nutrition.corpse_enriched,ok
restoration,nutrition.regenerated,ok
restoration,pop.Faeling,ok
restoration,pop.corpses,below_min_count
restoration,pop.crystals,ok
restoration,pop.nests,below_min_count
restoration,pop.spores,below_min_count
restoration,pop.total,ok
restoration,spacing.Faeling,ok
restoration,terraform.nudges,ok
restoration,terraform.shifts,ok
shroomer_bloom,births.Deer,within_noise
shroomer_bloom,births.Shroomer,ok
shroomer_bloom,growth.shroomer_mean_scale,ok
shroomer_bloom,kills.total,below_min_count
shroomer_bloom,nutrition.consumed,FAIL
shroomer_bloom,nutrition.corpse_enriched,ok
shroomer_bloom,nutrition.regenerated,FAIL
shroomer_bloom,pop.Deer,within_noise
shroomer_bloom,pop.Shroomer,ok
shroomer_bloom,pop.corpses,below_min_count
shroomer_bloom,pop.crystals,below_min_count
shroomer_bloom,pop.nests,below_min_count
shroomer_bloom,pop.spores,below_min_count
shroomer_bloom,pop.total,ok
shroomer_bloom,spacing.Deer,FAIL
shroomer_bloom,spacing.Shroomer,ok
shroomer_bloom,terraform.nudges,ok
shroomer_bloom,terraform.shifts,ok
